datetime,open,high,low,close,volume
2025-01-02 01:00:00,2624.48,2625.29,2624.01,2624.68,528
2025-01-02 01:15:00,2624.69,2624.92,2623.51,2623.74,405
2025-01-02 01:30:00,2623.71,2623.93,2621.56,2621.56,284
2025-01-02 01:45:00,2621.84,2624.33,2621.48,2623.74,333
2025-01-02 02:00:00,2623.78,2626.2,2622.82,2625.77,518
2025-01-02 02:15:00,2625.77,2626.49,2625.26,2626.4,600
2025-01-02 02:30:00,2626.38,2627.57,2625.45,2626.84,615
2025-01-02 02:45:00,2626.87,2627.8,2625.3,2625.33,793
2025-01-02 03:00:00,2625.35,2630.88,2623.8,2629.59,1354
2025-01-02 03:15:00,2629.4,2633.01,2629.33,2632.59,1080
2025-01-02 03:30:00,2632.55,2634.35,2632.26,2633.43,897
2025-01-02 03:45:00,2633.12,2633.48,2631.62,2632.9,1141
2025-01-02 04:00:00,2632.92,2634.71,2632.58,2634.54,927
2025-01-02 04:15:00,2634.59,2636.37,2633.92,2635.63,658
2025-01-02 04:30:00,2635.7,2635.76,2632.63,2633.39,1007
2025-01-02 04:45:00,2633.4,2635.32,2632.31,2634.72,862
2025-01-02 05:00:00,2634.7,2635.32,2633.06,2633.12,959
2025-01-02 05:15:00,2633.11,2634.72,2632.99,2633.37,922
2025-01-02 05:30:00,2633.35,2634.14,2632.3,2633.43,725
2025-01-02 05:45:00,2633.43,2633.84,2632.68,2633.66,565
2025-01-02 06:00:00,2633.68,2633.71,2632.11,2632.38,482
2025-01-02 06:15:00,2632.55,2633.21,2632.16,2632.48,422
2025-01-02 06:30:00,2632.47,2632.88,2632.07,2632.18,393
2025-01-02 06:45:00,2632.18,2634.2,2631.1,2633.96,657
2025-01-02 07:00:00,2633.99,2634.36,2633.06,2633.41,532
2025-01-02 07:15:00,2633.42,2635.31,2633.39,2634.9,647
2025-01-02 07:30:00,2634.85,2636.5,2634.57,2634.93,941
2025-01-02 07:45:00,2634.95,2635.35,2634.01,2634.03,906
2025-01-02 08:00:00,2634.03,2634.03,2631.45,2631.74,935
2025-01-02 08:15:00,2631.72,2634.45,2631.15,2634.18,772
2025-01-02 08:30:00,2634.17,2634.7,2633.41,2634.11,803
2025-01-02 08:45:00,2634.14,2635.43,2633.58,2634.06,847
2025-01-02 09:00:00,2634.14,2635.01,2633.47,2634.41,764
2025-01-02 09:15:00,2634.38,2636.0,2633.61,2634.37,753
2025-01-02 09:30:00,2634.38,2634.38,2633.05,2633.61,759
2025-01-02 09:45:00,2633.66,2636.0,2632.96,2635.97,777
2025-01-02 10:00:00,2636.24,2637.13,2633.96,2635.16,1083
2025-01-02 10:15:00,2635.17,2635.18,2631.25,2633.32,1011
2025-01-02 10:30:00,2633.32,2636.98,2631.22,2636.3,769
2025-01-02 10:45:00,2636.29,2637.84,2635.38,2636.37,839
2025-01-02 11:00:00,2636.43,2639.83,2636.36,2638.22,1077
2025-01-02 11:15:00,2638.2,2639.97,2637.29,2637.4,833
2025-01-02 11:30:00,2637.41,2638.37,2636.66,2637.14,766
2025-01-02 11:45:00,2637.19,2637.89,2636.03,2636.09,787
2025-01-02 12:00:00,2636.09,2639.0,2632.76,2638.97,1123
2025-01-02 12:15:00,2638.97,2646.37,2638.16,2644.86,1228
2025-01-02 12:30:00,2644.92,2645.61,2643.14,2644.0,1062
2025-01-02 12:45:00,2643.94,2644.11,2640.54,2642.74,1133
2025-01-02 13:00:00,2642.74,2644.69,2642.45,2644.26,823
2025-01-02 13:15:00,2644.27,2644.46,2640.64,2641.82,893
2025-01-02 13:30:00,2641.9,2642.81,2640.33,2642.14,851
2025-01-02 13:45:00,2642.16,2642.55,2641.19,2642.01,742
2025-01-02 14:00:00,2641.99,2642.83,2640.39,2641.03,868
2025-01-02 14:15:00,2640.97,2643.2,2640.61,2642.77,838
2025-01-02 14:30:00,2642.75,2645.26,2642.18,2644.23,1108
2025-01-02 14:45:00,2644.3,2646.45,2642.85,2643.39,1094
2025-01-02 15:00:00,2643.34,2643.36,2638.42,2638.51,1429
2025-01-02 15:15:00,2638.61,2641.11,2636.02,2640.6,1321
2025-01-02 15:30:00,2640.12,2641.08,2637.03,2639.15,1366
2025-01-02 15:45:00,2639.12,2647.38,2638.19,2642.99,1457
