datetime,open,high,low,close,volume,month,MA20,MA50
2025-01-02 01:00:00,2624.48,2625.29,2624.01,2624.68,528,1,,
2025-01-02 01:15:00,2624.69,2624.92,2623.51,2623.74,405,1,,
2025-01-02 01:30:00,2623.71,2623.93,2621.56,2621.56,284,1,,
2025-01-02 01:45:00,2621.84,2624.33,2621.48,2623.74,333,1,,
2025-01-02 02:00:00,2623.78,2626.2,2622.82,2625.77,518,1,,
2025-01-02 02:15:00,2625.77,2626.49,2625.26,2626.4,600,1,,
2025-01-02 02:30:00,2626.38,2627.57,2625.45,2626.84,615,1,,
2025-01-02 02:45:00,2626.87,2627.8,2625.3,2625.33,793,1,,
2025-01-02 03:00:00,2625.35,2630.88,2623.8,2629.59,1354,1,,
2025-01-02 03:15:00,2629.4,2633.01,2629.33,2632.59,1080,1,,
2025-01-02 03:30:00,2632.55,2634.35,2632.26,2633.43,897,1,,
2025-01-02 03:45:00,2633.12,2633.48,2631.62,2632.9,1141,1,,
2025-01-02 04:00:00,2632.92,2634.71,2632.58,2634.54,927,1,,
2025-01-02 04:15:00,2634.59,2636.37,2633.92,2635.63,658,1,,
2025-01-02 04:30:00,2635.7,2635.76,2632.63,2633.39,1007,1,,
2025-01-02 04:45:00,2633.4,2635.32,2632.31,2634.72,862,1,,
2025-01-02 05:00:00,2634.7,2635.32,2633.06,2633.12,959,1,,
2025-01-02 05:15:00,2633.11,2634.72,2632.99,2633.37,922,1,,
2025-01-02 05:30:00,2633.35,2634.14,2632.3,2633.43,725,1,,
2025-01-02 05:45:00,2633.43,2633.84,2632.68,2633.66,565,1,2629.9215,
2025-01-02 06:00:00,2633.68,2633.71,2632.11,2632.38,482,1,2630.3064999999997,
2025-01-02 06:15:00,2632.55,2633.21,2632.16,2632.48,422,1,2630.7435,
2025-01-02 06:30:00,2632.47,2632.88,2632.07,2632.18,393,1,2631.2745,
2025-01-02 06:45:00,2632.18,2634.2,2631.1,2633.96,657,1,2631.7855,
2025-01-02 07:00:00,2633.99,2634.36,2633.06,2633.41,532,1,2632.1675,
2025-01-02 07:15:00,2633.42,2635.31,2633.39,2634.9,647,1,2632.5924999999997,
2025-01-02 07:30:00,2634.85,2636.5,2634.57,2634.93,941,1,2632.997,
2025-01-02 07:45:00,2634.95,2635.35,2634.01,2634.03,906,1,2633.432,
2025-01-02 08:00:00,2634.03,2634.03,2631.45,2631.74,935,1,2633.5395,
2025-01-02 08:15:00,2631.72,2634.45,2631.15,2634.18,772,1,2633.6189999999997,
2025-01-02 08:30:00,2634.17,2634.7,2633.41,2634.11,803,1,2633.653,
2025-01-02 08:45:00,2634.14,2635.43,2633.58,2634.06,847,1,2633.7110000000002,
2025-01-02 09:00:00,2634.14,2635.01,2633.47,2634.41,764,1,2633.7045,
2025-01-02 09:15:00,2634.38,2636.0,2633.61,2634.37,753,1,2633.6415,
2025-01-02 09:30:00,2634.38,2634.38,2633.05,2633.61,759,1,2633.6525,
2025-01-02 09:45:00,2633.66,2636.0,2632.96,2635.97,777,1,2633.715,
2025-01-02 10:00:00,2636.24,2637.13,2633.96,2635.16,1083,1,2633.817,
2025-01-02 10:15:00,2635.17,2635.18,2631.25,2633.32,1011,1,2633.8145,
2025-01-02 10:30:00,2633.32,2636.98,2631.22,2636.3,769,1,2633.958,
2025-01-02 10:45:00,2636.29,2637.84,2635.38,2636.37,839,1,2634.0935,
2025-01-02 11:00:00,2636.43,2639.83,2636.36,2638.22,1077,1,2634.3855,
2025-01-02 11:15:00,2638.2,2639.97,2637.29,2637.4,833,1,2634.6315,
2025-01-02 11:30:00,2637.41,2638.37,2636.66,2637.14,766,1,2634.8795,
